,City,Country,Latitude,Longitude,Date,Wind_Speed,Pressure,Humidity,Temperature,Cloudiness
276,Ponoka,CA,52.6768,-113.5815,1653147852,5.39,1027,46,46.38,98
277,Bariloche,AR,-41.1456,-71.3082,1653147625,29.93,1014,62,49.75,40
278,Gwadar,PK,25.1216,62.3254,1653147854,9.66,1000,88,83.17,0
279,Pocerski Pričinović,RS,44.7222,19.7072,1653147856,8.97,1015,52,84.51,83
280,Mīzan Teferī,ET,6.9833,35.5833,1653147857,1.57,1014,92,64.83,98
281,Price,US,39.5994,-110.8107,1653147859,17.27,1020,33,43.86,0
282,Tsaratanana,MG,-16.7833,47.65,1653147843,9.17,1018,70,70.9,15
283,College,US,64.8569,-147.8028,1653147863,5.75,1022,57,50.59,40
284,Kitaibaraki,JP,36.7833,140.75,1653147864,0.98,1008,89,62.15,100
285,Galesong,ID,-5.3166,119.3661,1653147866,6.6,1009,82,77.02,66
286,Kiunga,PG,-6.1219,141.2906,1653147867,1.97,1008,99,72.25,80
287,Faya,SA,18.3851,42.4509,1653147869,4.41,1013,26,79.32,62
288,Kozluk,TR,38.1938,41.4885,1653147871,1.01,1014,43,75.45,26
289,Lüderitz,NA,-26.6481,15.1594,1653147872,25.66,1020,54,61.56,21
290,Adré,TD,13.4667,22.2,1653147873,4.32,1007,12,96.87,93
291,Giohar,SO,2.7809,45.5005,1653147875,18.92,1011,67,79.7,99
292,Tarakan,ID,3.3,117.6333,1653147878,6.91,1010,83,81.9,40
293,Philadelphia,US,39.9523,-75.1638,1653147764,5.01,1016,62,87.46,0
294,Lazarev,RU,52.225,141.5131,1653147881,6.67,1006,99,33.1,100
295,Sioux Lookout,CA,50.1001,-91.917,1653147799,5.75,1016,65,37.47,75
296,Mahébourg,MU,-20.4081,57.7,1653147883,12.66,1020,78,75.49,40
297,Kandrian,PG,-6.2167,149.55,1653147884,3.51,1009,91,76.53,34
298,Beyneu,KZ,45.3167,55.2,1653147886,20.02,1013,33,58.5,7
299,Deer Lake,CA,49.1667,-57.4316,1653147887,12.66,1020,30,66.06,75
300,Kaitangata,NZ,-46.2817,169.8464,1653147888,12.88,1003,92,44.89,99
301,Ust-Nera,RU,64.5667,143.2,1653147890,2.71,1014,89,32.72,90
302,Glendive,US,47.1053,-104.7125,1653147892,12.66,1021,70,40.39,100
303,Ilulissat,GL,69.2167,-51.1,1653147894,1.14,1012,80,33.82,75
304,Chui,UY,-33.6971,-53.4616,1653147895,8.23,1021,57,61.45,94
305,Nanortalik,GL,60.1432,-45.2371,1653147896,7.11,1016,80,39.88,16
306,Staraya Russa,RU,57.9944,31.3608,1653147897,9.1,1007,46,57.51,30
307,Ust-Tsilma,RU,65.441,52.1498,1653147899,9.35,1014,69,35.28,100
308,Kuvandyk,RU,51.4781,57.3552,1653147900,13.65,1001,97,39.43,100
309,Tilichiki,RU,60.4667,166.1,1653147902,2.13,1023,91,33.33,99
310,San Juan de Abajo,MX,20.8167,-105.1833,1653147903,4.07,1013,41,85.78,1
311,Bowen,AU,-20.0167,148.2333,1653147904,10.76,1014,80,70.09,92
312,Zhigalovo,RU,54.8097,105.1578,1653147906,8.75,1011,79,54.66,75
313,Kumbo,CM,6.2,10.6667,1653147907,1.81,1013,76,68.76,100
314,Hasaki,JP,35.7333,140.8333,1653147908,8.84,1007,88,59.4,100
315,Hay River,CA,60.8156,-115.7999,1653147910,3.44,1021,43,48.18,75
316,Koratla,IN,18.8167,78.7167,1653147912,7.34,999,26,95.59,67
317,Buraidah,SA,26.326,43.975,1653147913,10.04,1008,9,102.65,0
318,Bukama,CD,-9.2,25.85,1653147915,3.8,1010,50,80.91,98
319,Coquimbo,CL,-29.9533,-71.3436,1653147916,12.66,1019,94,56.93,40
320,Mossamedes,AO,-15.1961,12.1522,1653147917,13.8,1011,53,77.63,0
321,Inhambane,MZ,-23.865,35.3833,1653147721,13.8,1014,100,69.78,75
322,Kungurtug,RU,50.5994,97.5228,1653147921,2.01,1017,57,49.75,16
323,Bathsheba,BB,13.2167,-59.5167,1653147922,23.02,1018,66,86.61,75
324,Clearlake,US,38.9582,-122.6264,1653147924,2.59,1012,29,68.58,7
325,Sakakah,SA,29.9697,40.2064,1653147925,22.82,1008,13,94.57,0
326,Lavrentiya,RU,65.5833,-171.0,1653147926,7.31,1022,82,34.59,98
327,Tiksi,RU,71.6872,128.8694,1653147928,3.89,1013,90,29.19,96
328,Vostok,RU,46.4856,135.8833,1653147929,1.95,1000,98,49.75,100
329,Burns Lake,CA,54.2331,-125.7533,1653147906,1.1,1026,66,35.02,4
330,Llangefni,GB,53.2556,-4.3106,1653147931,20.71,1018,80,58.21,20
331,Loukhi,RU,66.0764,33.0381,1653147933,10.31,1018,55,44.42,99
332,Lompoc,US,34.6391,-120.4579,1653147666,4.61,1014,76,53.37,0
333,Alta Gracia,AR,-31.6529,-64.4283,1653147935,6.62,1022,28,69.01,87
334,Sandy Bay,AU,-42.913,147.3532,1653147937,6.91,1029,92,41.09,100
335,Pāsighāt,IN,28.0667,95.3333,1653147938,3.83,1002,93,73.54,98
336,Port Blair,IN,11.6667,92.75,1653147939,8.05,1005,84,84.24,75
337,Port Augusta,AU,-32.5,137.7667,1653147941,2.95,1025,82,53.42,0
338,Plouzané,FR,48.3833,-4.6167,1653147723,10.36,1021,51,68.99,0
339,Ambon City,ID,-3.6954,128.1814,1653147943,2.3,1009,94,77.14,20
340,Marrakesh,MA,31.6315,-8.0083,1653147739,11.5,1016,37,89.67,40
341,Rojhan,PK,28.6868,69.9534,1653147945,5.35,992,4,98.94,0
342,Batagay-Alyta,RU,67.8006,130.4114,1653147947,4.05,1013,94,26.04,36
343,Dunedin,NZ,-45.8742,170.5036,1653147948,15.01,1001,73,46.8,96
344,Hermosillo,MX,29.0667,-110.9667,1653147901,5.99,1011,37,78.84,0
345,Chul'man,RU,56.8479,124.9104,1653147951,0.76,1013,91,35.76,100
346,Union,US,40.6334,-74.2663,1653147903,5.75,1016,67,84.52,0
347,Kabompo,ZM,-13.5927,24.2008,1653147953,4.45,1013,53,68.99,19
348,Grindavik,IS,63.8424,-22.4338,1653147954,23.02,1000,71,54.07,20
349,Coyhaique,CL,-45.5752,-72.0662,1653147956,3.44,1007,93,39.15,100
350,Kirakira,SB,-10.4544,161.9205,1653147957,1.39,1010,85,79.75,99
351,Mīnāb,IR,27.1467,57.0801,1653147958,5.08,999,33,94.12,0
352,Arrondissement du Havre,FR,49.5833,0.3333,1653147960,9.22,1021,63,64.98,30
353,Scarborough,GB,54.2797,-0.4044,1653147961,3.0,1017,64,61.88,89
354,Egvekinot,RU,66.3167,-179.1667,1653147962,7.09,1023,70,37.38,100
355,Guerrero Negro,MX,27.9769,-114.0611,1653147964,5.86,1015,64,65.52,64
356,Salinópolis,BR,-0.6136,-47.3561,1653147965,1.81,1015,59,84.67,69
357,Kathmandu,NP,27.7167,85.3167,1653147944,3.44,1006,83,71.82,20
358,Kemijärvi,FI,66.7131,27.4306,1653147967,3.49,1014,89,48.22,100
359,Madang,PG,-5.2246,145.7966,1653147970,2.26,1009,88,77.49,63
360,Paamiut,GL,61.994,-49.6678,1653147971,10.2,1015,77,36.63,64
361,Te Anau,NZ,-45.4167,167.7167,1653147973,5.32,1007,92,44.04,97
362,Novyy Urgal,RU,51.0736,132.5642,1653147974,3.51,1006,93,43.72,93
363,Termez,UZ,37.2242,67.2783,1653147975,0.0,1006,24,82.49,20
364,Puerto Carreño,CO,6.189,-67.4859,1653147977,3.44,1017,74,82.38,40
365,Kuching,MY,1.55,110.3333,1653147978,2.3,1010,94,75.42,40
366,Amapá,BR,1.0,-52.0,1653147979,1.7,1015,85,76.59,99
367,Torbay,CA,47.6666,-52.7314,1653147981,4.61,1022,46,57.56,20
368,Leh,IN,34.1667,77.5833,1653147982,6.71,1007,28,49.62,12
369,Mogadishu,SO,2.0371,45.3438,1653147983,17.4,1012,82,80.19,100
370,Zeya,RU,53.75,127.2667,1653147985,5.28,1008,58,44.19,51
371,Kahului,US,20.8947,-156.47,1653147435,4.61,1017,83,71.62,0
372,Trincomalee,LK,8.5711,81.2335,1653147979,21.99,1007,75,82.89,25
373,Olafsvik,IS,64.8945,-23.7142,1653147988,18.23,1004,81,46.08,68
374,Mount Isa,AU,-20.7333,139.5,1653147991,6.91,1017,60,67.77,97
375,Āsbe Teferī,ET,9.0833,40.8667,1653147992,4.09,1012,26,70.56,60
376,San Cristobal,VE,7.7669,-72.225,1653147834,10.16,1017,40,73.58,15
377,Belmonte,BR,-15.8631,-38.8828,1653147994,11.36,1021,53,78.91,2
378,Havøysund,NO,70.9963,24.6622,1653147996,1.5,1013,80,44.83,83
379,Naze,JP,28.3667,129.4833,1653147997,10.96,1007,84,68.92,67
380,Sulangan,PH,11.1373,123.7228,1653147998,5.66,1008,75,83.55,86
381,Dali,CN,25.7,100.1833,1653148000,3.0,1007,94,58.48,28
382,Atar,MR,20.5169,-13.0499,1653148001,10.25,1008,8,107.06,0
383,Carballo,ES,43.213,-8.691,1653148002,3.53,1012,82,71.29,100
384,Pangody,RU,65.85,74.4859,1653148004,11.39,1007,97,33.3,100
385,Nishihara,JP,26.1842,127.7558,1653148005,8.05,1008,92,71.1,75
386,Chapais,CA,49.7834,-74.8492,1653148006,9.33,1009,53,49.78,66
387,Pangnirtung,CA,66.1451,-65.7125,1653148008,6.91,1002,86,30.2,75
388,Yuryuzan',RU,54.8633,58.4219,1653148009,9.8,999,99,36.25,100
389,Al Bardīyah,LY,31.7561,25.0865,1653148011,20.4,1015,63,67.5,1
390,Ryōtsu-minato,JP,38.0833,138.4333,1653148013,2.24,1007,78,62.02,99
391,Pirenópolis,BR,-15.8525,-48.9592,1653148014,5.88,1018,14,73.89,11
392,Gurupá,BR,-1.405,-51.64,1653148015,0.76,1015,80,79.02,95
393,Basco,PH,20.4487,121.9702,1653148017,12.88,1008,78,80.29,45
394,Antofagasta,CL,-23.65,-70.4,1653147773,7.27,1018,66,61.88,54
395,Kalmunai,LK,7.4167,81.8167,1653148019,1.41,1007,69,84.18,50
396,Tasiilaq,GL,65.6145,-37.6368,1653148021,1.36,1013,71,41.16,26
397,Kruisfontein,ZA,-34.0033,24.7314,1653148022,4.23,1024,82,59.88,23
398,Pandan,PH,14.0453,124.1694,1653148023,6.13,1007,86,80.17,92
399,Barsovo,RU,61.1667,73.1667,1653148025,7.54,1006,83,42.03,90
400,Margate,GB,51.3813,1.3862,1653148026,1.01,1020,66,64.09,84
401,Ginda,IN,30.6945,78.4932,1653148027,8.66,1004,60,59.14,55
402,Edmundston,CA,47.3737,-68.3251,1653148029,12.66,1013,94,55.85,100
403,Vestmanna,FO,62.1564,-7.1664,1653148030,12.66,1005,93,49.12,100
404,Asino,RU,56.9979,86.1452,1653148031,2.15,1011,70,49.73,46
405,Uyemskiy,RU,64.4743,40.8524,1653148033,6.71,1018,52,37.45,75
406,Karratha,AU,-20.7377,116.8463,1653148034,4.99,1012,77,77.47,9
407,Shimoda,JP,34.6667,138.95,1653148035,8.63,1006,86,61.16,100
408,Corpus Christi,US,27.8006,-97.3964,1653147829,25.32,1009,74,87.33,20
409,Auki,SB,-8.7676,160.7034,1653148038,3.18,1010,88,75.81,46
410,Los Llanos de Aridane,ES,28.6585,-17.9182,1653148040,13.8,1018,80,68.13,75
411,Bouna,CI,9.2667,-3.0,1653148042,8.55,1010,68,81.0,99
412,Cap Malheureux,MU,-19.9842,57.6142,1653148043,5.01,1019,79,74.46,3
413,Butembo,CD,0.15,29.2833,1653148044,0.98,1015,97,60.19,100
414,Rochester,US,43.1548,-77.6156,1653147400,17.27,1012,61,84.54,75
415,Jalu,LY,29.0331,21.5482,1653148047,19.93,1017,22,78.53,0
416,Nīlēshwar,IN,12.25,75.1,1653148048,3.09,1009,81,79.39,99
417,Machalí,CL,-34.1833,-70.6667,1653148049,0.0,1023,81,49.28,40
418,Camaçari,BR,-12.6975,-38.3242,1653148048,10.6,1019,59,82.17,95
419,Guánica,PR,17.9716,-66.908,1653148052,5.99,1020,65,86.27,61
420,Lucea,JM,18.451,-78.1736,1653148053,11.92,1018,59,87.85,89
421,Beringovskiy,RU,63.05,179.3167,1653148054,7.25,1022,96,32.45,91
422,Praia,CV,14.9215,-23.5087,1653148056,20.71,1016,54,81.14,20
423,Codrington,AU,-38.2667,141.9667,1653148057,6.87,1032,92,45.14,7
424,Vestmannaeyjar,IS,63.4427,-20.2734,1653148058,6.91,998,71,54.59,0
425,Langsa,ID,4.4683,97.9683,1653148060,2.08,1009,95,75.78,96
426,Davila,PH,18.4726,120.5763,1653148061,4.07,1008,79,78.78,100
427,San Joaquin,US,37.9333,-121.3011,1653148062,6.91,1012,35,66.16,0
428,Coahuayana Viejo,MX,18.7333,-103.6833,1653148064,5.44,1013,53,86.05,7
429,Taoudenni,ML,22.6783,-3.9836,1653148065,16.31,1008,4,109.6,1
430,Homer,US,59.6425,-151.5483,1653148068,4.0,1022,59,44.85,0
431,Farafangana,MG,-22.8167,47.8333,1653147902,3.62,1020,79,70.45,3
432,Asău,RO,46.4333,26.4,1653148070,9.95,1011,63,83.32,97
433,Pioner,RU,55.3166,85.9508,1653148071,4.47,1010,45,67.44,0
434,Banda Aceh,ID,5.5577,95.3222,1653148073,13.58,1009,81,80.96,100
435,Portland,US,45.5234,-122.6762,1653147792,5.99,1022,79,51.62,20
436,Anuradhapura,LK,8.3565,80.4173,1653147978,13.62,1009,83,79.21,38
437,Whitehorse,CA,60.7161,-135.0538,1653147868,3.44,1025,65,39.97,20
438,Beloha,MG,-25.1667,45.05,1653148077,7.49,1018,58,71.51,65
439,Sitka,US,57.0531,-135.33,1653148079,3.44,1025,66,51.69,0
440,São Domingos do Maranhão,BR,-5.5758,-44.3853,1653148080,5.46,1016,87,79.0,99
441,Peleduy,RU,59.6289,112.7406,1653148081,3.4,1006,79,49.87,100
442,Abū Zabad,SD,12.35,29.25,1653148084,7.72,1005,19,98.44,100
443,Eloy,US,32.7559,-111.5548,1653148085,7.11,1011,26,79.11,0
444,Phoenixville,US,40.1304,-75.5149,1653147933,4.61,1017,59,87.01,0
445,Samarai,PG,-10.6167,150.6667,1653148088,6.31,1009,78,81.1,31
446,Talnakh,RU,69.4865,88.3972,1653148089,4.56,1006,100,45.21,100
447,Byron Bay,AU,-28.65,153.6167,1653148090,11.3,1023,88,60.71,100
448,Namatanai,PG,-3.6667,152.4333,1653148092,7.96,1008,80,80.17,94
449,Upington,ZA,-28.4478,21.2561,1653148093,10.36,1019,48,66.58,75
450,Faanui,PF,-16.4833,-151.75,1653148094,10.4,1014,75,79.27,16
451,Shache,CN,38.4167,77.2406,1653148096,21.47,1006,47,67.26,99
452,Santa Cruz de la Sierra,BO,-17.8,-63.1667,1653147841,17.27,1017,50,75.25,75
453,Sviniţa,RO,44.4997,22.1061,1653148098,10.4,1014,50,78.78,46
454,Gandajika,CD,-6.75,23.95,1653148100,1.05,1010,62,76.69,57
455,Quatre Cocos,MU,-20.2078,57.7625,1653148103,17.2,1020,74,74.08,15
456,Ploemeur,FR,47.7333,-3.4333,1653148104,12.66,1019,57,71.33,0
457,Sisophon,KH,13.5859,102.9737,1653148106,9.15,1006,86,77.56,100
458,Emerald,AU,-23.5333,148.1667,1653148107,16.17,1018,88,61.34,95
459,Esil,KZ,51.9556,66.4042,1653147996,15.64,998,75,51.69,95
460,Maniitsoq,GL,65.4167,-52.9,1653148110,10.87,1012,73,37.42,96
461,Vorokhta,UA,48.2869,24.5719,1653148111,4.09,1013,91,58.64,98
462,Nome,US,64.5011,-165.4064,1653148112,13.8,1019,39,57.25,75
463,Tuatapere,NZ,-46.1333,167.6833,1653148114,13.76,1006,92,46.78,100
464,Puerto Escondido,MX,15.85,-97.0667,1653147968,8.7,1013,54,85.17,100
465,Grand Gaube,MU,-20.0064,57.6608,1653148118,5.01,1019,79,74.37,4
466,Ajdabiya,LY,30.7554,20.2263,1653148120,18.07,1019,55,69.71,0
467,Chekhov,RU,55.1431,37.4711,1653148121,6.06,1007,61,56.91,97
468,Yulara,AU,-25.2406,130.9889,1653148122,9.4,1021,49,54.34,8
469,Gigmoto,PH,13.7796,124.39,1653148124,8.77,1008,85,81.05,95
470,Bubaque,GW,11.2833,-15.8333,1653148125,13.38,1013,78,78.82,87
471,Iqaluit,CA,63.7506,-68.5145,1653148126,17.27,990,86,32.7,100
472,Neustadt an der Waldnaab,DE,49.7117,12.0872,1653148128,13.8,1020,51,63.36,20
473,Nelson Bay,AU,-32.7167,152.15,1653148129,8.12,1027,70,55.45,84
474,Semnan,IR,35.5729,53.3971,1653148130,13.56,1013,48,60.31,3
475,Saint-Ambroise,CA,48.5501,-71.3324,1653148132,17.27,1006,73,67.39,100
476,Marabu,MY,4.4148,114.0089,1653148133,5.75,1009,94,78.94,40
477,Zhengjiatun,CN,43.5064,123.5064,1653148134,16.35,1004,37,65.23,42
478,Alta Floresta,BR,-9.8756,-56.0861,1653148136,3.44,1019,37,85.82,0
479,Houma,US,29.5958,-90.7195,1653148137,14.97,1016,77,86.31,75
480,Otradnoye,RU,59.7775,30.8181,1653148138,12.06,1011,45,50.97,4
481,Nyurba,RU,63.2842,118.3319,1653148140,3.53,1007,76,49.41,97
482,Kinango,KE,-4.1372,39.3153,1653148142,6.69,1014,80,80.71,100
483,Westport,US,41.1415,-73.3579,1653148143,1.01,1016,67,77.65,100
484,Mālpura,IN,26.2833,75.3833,1653148145,8.32,995,13,94.69,2
485,Alice Springs,AU,-23.7,133.8833,1653148146,0.0,1021,57,47.75,59
486,Rialma,BR,-15.315,-49.5844,1653148147,5.17,1018,15,81.14,35
487,Jieshi,CN,22.8134,115.8257,1653148149,13.53,1009,88,78.94,83
488,Terney,RU,45.0503,136.6092,1653148150,3.2,1003,98,49.48,100
489,Dawei,MM,14.0833,98.2,1653148151,8.63,1006,93,78.04,100
490,Chiradzulu,MW,-15.6746,35.1407,1653148153,6.91,1017,50,76.62,20
491,Cherskiy,RU,68.75,161.3,1653148154,10.13,1016,63,47.8,94
492,Severnoye,RU,56.3491,78.3619,1653148155,6.13,1004,66,61.88,82
493,Verkhnyaya Inta,RU,65.9811,60.3094,1653148157,12.57,1012,62,39.15,100
494,Verkhnyaya Pyshma,RU,56.9667,60.5808,1653147949,10.76,994,98,38.55,100
495,Broadstairs,GB,51.3591,1.4394,1653148159,1.01,1020,67,63.75,84
496,Chandler,US,33.3062,-111.8412,1653148039,8.05,1011,29,79.56,0
497,Bonthe,SL,7.5264,-12.505,1653148162,13.22,1013,86,76.95,100
498,Ust-Maya,RU,60.4167,134.5333,1653148163,2.39,1011,87,32.05,3
499,Coswig,DE,51.1333,13.5833,1653148164,12.66,1018,52,65.89,20
500,Melito di Porto Salvo,IT,37.9222,15.7714,1653148166,19.57,1020,53,73.24,0
501,Leningori,GE,42.126,44.4833,1653148167,4.43,1019,68,51.67,5
502,Vyritsa,RU,59.4078,30.3481,1653148168,10.38,1010,40,52.54,28
503,Novobirilyussy,RU,56.9514,90.6661,1653148171,4.21,1011,53,54.63,90
504,Midyat,TR,37.4247,41.3393,1653148172,8.03,1014,30,78.08,38
505,Ouargaye,BF,11.5033,0.0572,1653148173,6.49,1008,36,93.87,74
506,Stepnogorsk,KZ,52.3544,71.8869,1653148175,13.82,995,27,72.09,64
507,Ylöjärvi,FI,61.5563,23.5961,1653148176,11.5,1011,28,56.95,0
508,Boulder,US,40.0833,-105.3505,1653147925,1.99,1027,81,30.45,40
509,Ejura,GH,7.3856,-1.3562,1653148178,2.91,1012,90,73.13,100
510,Saint-Augustin,CA,51.226,-58.6502,1653148180,16.6,1017,53,50.99,100
511,Caravelas,BR,-17.7125,-39.2481,1653148181,8.34,1021,54,77.58,1
512,Emba,KZ,48.8264,58.1442,1653148182,20.36,1005,61,44.96,48
513,Anzio,IT,41.4853,12.6179,1653148184,8.77,1019,63,75.2,50
514,Trelleborg,SE,55.3751,13.1569,1653148185,18.23,1012,79,57.63,47
515,Tākestān,IR,36.0696,49.6959,1653148186,13.49,1018,64,62.73,0
516,Ngara,TZ,-2.5122,30.6558,1653148188,2.64,1013,81,61.32,87
517,Mayo,US,38.8876,-76.5119,1653148189,5.75,1017,59,88.65,0
518,Derzhavīnsk,KZ,51.1,66.3167,1653148190,15.57,999,79,50.29,99
519,Paraná,AR,-31.732,-60.5238,1653148134,3.51,1022,66,65.37,100
520,Baykit,RU,61.67,96.37,1653148194,6.87,1004,85,45.73,98
521,Colon,VE,8.0313,-72.2605,1653148195,2.13,1016,42,74.79,6
522,Bama,NG,11.5221,13.6856,1653148197,12.21,1005,7,105.24,52
523,Mizdah,LY,31.4451,12.9801,1653148198,8.84,1019,12,79.63,0
524,Rūdbār,AF,30.15,62.6,1653148199,4.05,1000,11,91.45,0
525,Camaná,PE,-16.6228,-72.7111,1653148201,10.85,1017,69,70.95,75
526,Potsdam,DE,52.3989,13.0657,1653148202,14.92,1016,80,65.23,50
527,Gizo Government Station,SB,-8.103,156.8419,1653148205,6.46,1009,75,81.86,13
528,Mushābani,IN,22.5167,86.45,1653148212,13.56,996,39,93.61,94
529,Libreville,GA,0.3925,9.4537,1653148092,4.61,1011,78,80.62,40
530,Ixtapa,MX,20.7,-105.2,1653148215,3.96,1013,36,87.17,0
531,Concarneau,FR,47.875,-3.9225,1653148216,6.4,1020,59,74.19,3
532,Chicama,PE,-7.8447,-79.1469,1653148217,7.83,1017,69,63.14,44
533,Canutama,BR,-6.5339,-64.3831,1653148219,1.74,1016,45,88.83,18
534,Nara,JP,34.6851,135.8049,1653148207,1.95,1008,66,64.08,100
535,Ugoofaaru,MV,5.6667,73.0,1653148221,15.21,1010,79,83.43,73
536,Markova,UA,48.6758,24.4138,1653148222,11.1,1013,72,62.08,72
537,Fort Nelson,CA,58.8053,-122.7002,1653148224,6.91,1023,49,42.39,75
538,Fairbanks,US,64.8378,-147.7164,1653147927,5.75,1021,58,50.27,0
539,Porto Nacional,BR,-10.7081,-48.4172,1653148226,3.94,1016,33,80.6,8
540,Palmerston,AU,-12.486,130.9833,1653148228,0.0,1011,84,78.03,40
541,Pili,PH,13.5833,123.3,1653148229,2.8,1008,92,76.59,90
542,Loandjili,CG,-4.7561,11.8578,1653148230,11.45,1012,74,78.22,79
543,Quelimane,MZ,-17.8786,36.8883,1653148232,11.5,1013,74,82.35,20
544,Lázaro Cárdenas,MX,17.9583,-102.2,1653148233,4.88,1013,68,80.58,97
545,Hirara,JP,24.8,125.2833,1653148234,13.69,1008,78,75.83,36
546,Teknāf,BD,20.8624,92.3058,1653148228,3.38,1002,84,83.57,65
547,Pavlodar,KZ,52.3,76.95,1653148238,11.18,1002,31,73.2,0
548,Cuamba,MZ,-14.8031,36.5372,1653148239,2.98,1015,59,71.71,4
549,Bosaso,SO,11.2842,49.1816,1653148241,0.49,1006,45,88.32,86
550,Berdigestyakh,RU,62.0989,126.6992,1653148242,3.06,1009,84,38.93,11
551,Tineo,ES,43.3376,-6.4145,1653148243,3.96,1016,71,55.65,100
552,San Juan del Sur,NI,11.2529,-85.8705,1653148245,0.0,1014,83,82.62,40
